#full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,rot_per
"       (2013 MR)",.8735624804068999,.4908528394883453,20.24420219033526,266.8610056308873,207.3564305086489,.444771856428691,1.302353104385109,0.816486787693714,1906,1,57,,,21.7,
"       (2013 ML3)",2.182863204333062,.5342439858664101,9.637836309043298,252.1239174748623,4.44325924971769,1.016681665449043,3.349044743217081,3.22513562526707,70,5,192,,,22.4,
"       (2013 MX5)",2.271104026948089,.446780470764337,6.593809557372659,250.1007605057827,53.13535916377716,1.25641910063344,3.285788953262738,3.42265987331624,2720,1,242,,,18.9,
"       (2013 MD6)",.8535804207179002,.4338220506497577,28.30343857004972,91.94858342238958,1.593692458059422,.4832784122075778,1.223882429228222,0.788632860942408,5485,0,49,,,21.6,
"       (2013 MR6)",2.710802062462739,.5454252955482809,35.97651779671477,114.3267712401252,216.708125913424,1.23226204637111,4.189342078554367,4.46328802198984,108,5,85,,,19.0,
"       (2013 MW6)",1.732862360639457,.4841773098606905,5.518964860386425,.8293713157168052,191.1034082259007,.8938497245061989,2.571874996772715,2.28115242283794,498,3,59,,,19.8,
"       (2013 MH7)",2.148318255447939,.5738418452319037,55.74179272710145,87.29075411087514,257.7768936321466,.9155233435963093,3.381113167299569,3.14888014574416,1282,1,93,,,19.5,
"       (2013 MD8)",2.055379096007956,.5768170282894379,1.717016362362136,134.118488536694,68.64612728877552,.8698014338404153,3.240956758175496,2.9467690864622,2063,0,21,,,24.2,
"       (2013 MV10)",1.982714354636723,.4264101744762761,8.022688375448567,208.821895846683,31.45096191583782,1.137264780739461,2.828163928533985,2.79189080598162,45,8,13,,,22.0,
"       (2013 MP11)",2.204480544932462,.4308291072013616,9.059454866821369,293.6308335357074,341.3343309856195,1.254726159916438,3.154234929948486,3.27316280900825,69,6,54,,,21.8,
"       (2013 MR11)",1.613585350720254,.3801608356251509,16.45312033896755,92.29029533663416,104.8414290255048,1.00016339543794,2.227007306002568,2.04972744343181,5,9,7,,,21.6,
"       (2013 MS11)",1.737083712848015,.3643696484618791,16.38544733640845,277.3908410314517,301.5490791124441,1.104143131048728,2.370024294647302,2.28949302465754,551,3,18,,,20.8,
"       (2013 NJ)",1.286072722714281,.2835272931519773,3.940601780779921,238.5971719131641,140.3500786465807,.921436004846507,1.650709440582054,1.45850019941464,1345,0,248,5,4,22.0,2.02
"       (2013 NK)",2.374395957051094,.464889914233123,3.258297091392105,265.3538021940478,67.2107067185061,1.270563224222137,3.478228689880051,3.65879366481999,130,5,85,,,21.4,
"       (2013 NU)",2.447906060236591,.4697914691893896,5.795342730185577,111.3731146587167,185.9248904902105,1.297900675760433,3.59791144471275,3.830013665305,27,6,34,,,21.2,
"       (2013 NV)",.958443453589225,.5110124582204684,29.29221823061532,275.6130883909903,227.7930778599617,.4686669083052797,1.44821999887317,0.938335063711293,12872,0,208,,,20.2,
"       (2013 NW)",2.778880855749717,.6868868514500859,7.463616022498243,234.9045672189235,118.9529362400888,.8701041341888737,4.687657577310561,4.63247508831389,120,6,42,,,22.3,
