    243 Ida               -          S      7G  S0 7I -   -  -      -   -   -   S   s   -   -   Sw  a  -                     
    244 Sita              -          -      -   -  -  -   -  -      -   -   -   Sa  s   -   -   Sw  a  -                     
    245 Vera              -          S      7   S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
    246 Asporina          -          A      7G  A0 7I r   2I A      65  -   -   A   s   A   L   A   a  -                     
    247 Eukrate           -          CP     2G  -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
    248 Lameia            -          -      -   -  -  -   -  -      -   X   s   -   -   -   -   -   -  -                     
    249 Ilse              -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    250 Bettina           -          M      7G  M0 7I M   2I -      -   -   -   Xk  s   -   -   Xk  a  -                     
    251 Sophia            -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    252 Clementina        -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    253 Mathilde          -          -      -   -  -  -   -  -      -   -   -   Cb  s   -   -   -   -  -                     
    254 Augusta           -          S      2   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    255 Oppavia           -          X      2   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    256 Walpurga          -          -      -   -  -  -   -  -      -   X   s   -   -   -   -   -   -  -                     
    257 Silesia           -          SCTU   2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    258 Tyche             -          S      7   S0 7I S   2I Sp,SSp 65  -   -   S   s   S   S   S   a  -                     
    259 Aletheia          -          CP     2G  -  -  -   -  -      -   -   -   X   s   X   X   -   -  -                     
    260 Huberta           -          CX:    2   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    261 Prymno            -          B      7G  B3 7I l   2I -      -   -   -   X   s   -   -   -   -  -                     
    262 Valda             -          S      2G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    263 Dresda            -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    264 Libussa           -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
    265 Anna              -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    266 Aline             -          C      7   C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  Ch  a  -                     
    267 Tirza             -          DU     1   -  -  -   -  D      65  -   -   D   s   -   -   D   a  -                     
    268 Adorea            -          FC     7G  C0 7I FC  2I -      -   -   -   -   -   X   X   -   -  -                     
    269 Justitia          -          -      -   -  -  -   -  -      -   -   -   Ld  s   -   -   D   a  -                     
    270 Anahita           -          S      2G  -  -  -   -  S      65  -   -   -   -   S   Sl  -   -  -                     
    271 Penthesilea       -          PC     2G  -  -  -   -  -      -   -   -   -   -   C   Ch  -   -  -                     
    272 Antonia           -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    273 Atropos           -          SCTU   2   -  -  -   -  -      -   -   -   -   -   K   Xk  -   -  -                     
    274 Philagoria        -          -      -   -  -  -   -  -      -   -   -   -   -   S   L   -   -  -                     
    275 Sapientia         -          X      4   -  -  C   2I -      -   -   -   C   s   -   -   -   -  -                     
    276 Adelheid          -          X      7   C0 7I PC  2I -      -   -   -   -   -   -   -   -   -  -                     
    277 Elvira            -          S      7   S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    278 Paulina           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   S   a  -                     
    279 Thule             -          D      7G  D0 7I D   2I -      -   -   -   X   s   -   -   D   a  -                     
    281 Lucretia          -          SU     2G  -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    282 Clorinde          -          BFU::  7   B0 7I -   -  -      -   -   -   B   s   -   -   -   -  -                     
    283 Emma              -          X      2   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
